d20,Subject,Specific_Lore_Example
1,Local Wildlife (Passive),"Sky-Grazers, Gritbores, or Dune Dogs."
2,Local Wildlife (Aggressive),"Razor-Striders, Cloud-Cutter Rays, or Plate-Crawlers."
3,Vermin Swarm,"Gem-Shell Beetles, Furnace-Ticks, or Sump-Leeches."
4,Heartland Military,Wolf Marshals or Coyote Scouts on patrol.
5,Mercenary Crew,"'The Devil's Choice' or generic hired guns."
6,Criminal Syndicate,"Sump-Kin Thugs, Otter Smugglers, or Rat Loan Sharks."
7,Sky-Farers,A Free Sky-Baron crew or a Crimson Corsair raider.
8,Industrialists,Vaneer Concord salvage team or Iron Caldera miners.
9,The Religious,Church of the Dawn Clerics or a Porcupine Death-Cultist.
10,The Outcasts,"'Hearthless' Ursine, Hive Exiles, or Guilt-Wracked Drifters."
11,The Merchants,"River Folk Barge, Avian Master of Coin, or Raccoon Peddler."
12,The Nomads,A Gypsy Flock wagon train or Dust-Husk Riders.
13,The Law,"Avian Auditors, Vaneer Auditors, or a 'Red Sash' Crew."
14,The Cult,A cell of Worm Cultists (specific to the local Dragon).
15,The Guardians,A Grey Warden patrol or a Circle of the Eyeless Monk.
16,The Ancients,Sylvan Empire Tree-Folk or a Pre-Shattering Construct.
17,The Mutated,Chaos-warped horrors (living geometry liquid flesh).
18,The Insurgency,Guerrilla Clan fighters or Scute Revolutionaries.
19,The Supernatural,A ghost/echo of the past or a "Thought-Form" beast.
20,The Titan,A massive threat (Adult Dragon spawn Land-Leviathan).
